description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Blue, nonethereal armor + 2 Eth + 2 UE -> Ethereal	1				100					5	armo,mag,noe	r05,qty=2	elx,qty=2					useitem				ethereal			1	1																																																																															0
Rare, nonethereal armor + 2 Eth + 2 UE -> Ethereal	1				100					5	armo,rar,noe	r05,qty=2	elx,qty=2					useitem				ethereal			1	1																																																																															0
White, ethereal armor + 2 Nef + 2 UE -> Non-ethereal	1				100					5	armo,nor,eth	r04,qty=2	elx,qty=2					usetype			100																																																																																				0
Weapon + 4 perfect diamonds -> White version	1				100					5	weap	gpw,qty=4						usetype,nor			100																																																																																				0
Armor + 4 perfect diamonds -> White version	1				100					5	armo	gpw,qty=4						usetype,nor			100																																																																																				0
Weapon + 3 perfect sapphires +  1 UE -> Rando magic version	1				100					5	weap	gpb,qty=3	elx					usetype,mag			100																																																																																				0
Armor + 3 perfect sapphires +  1 UE -> Random magic version	1				100					5	armo	gpb,qty=3	elx					usetype,mag			100																																																																																				0
Ring + 3 perfect sapphires +  1 UE -> Random magic version	1				100					5	ring	gpb,qty=3	elx					usetype,mag			100																																																																																				0
Amulet + 3 perfect sapphires +  1 UE -> Random magic version	1				100					5	amu	gpb,qty=3	elx					usetype,mag			100																																																																																				0
Jewel + 3 perfect sapphires +  1 UE -> Random magic version	1				100					5	jew	gpb,qty=3	elx					usetype,mag			100																																																																																				0
Charm + 3 perfect sapphires +  1 UE -> Random magic version	1				100					5	char	gpb,qty=3	elx					usetype,mag			100																																																																																				0
Weapon + 2 perfect topazs +  2 UE -> Rando magic version	1				100					5	weap	gpy,qty=2	elx,qty=2					usetype,rar			100																																																																																				0
Armor + 2 perfect topazs +  2 UE -> Rando magic version	1				100					5	armo	gpy,qty=2	elx,qty=2					usetype,rar			100																																																																																				0
Ring + 2 perfect topazs +  2 UE -> Rando magic version	1				100					5	ring	gpy,qty=2	elx,qty=2					usetype,rar			100																																																																																				0
Amulet + 2 perfect topazs +  2 UE -> Rando magic version	1				100					5	amu	gpy,qty=2	elx,qty=2					usetype,rar			100																																																																																				0
Jewel + 2 perfect topazs +  2 UE -> Rando magic version	1				100					5	jew	gpy,qty=2	elx,qty=2					usetype,rar			100																																																																																				0
White weapon + 4 Els -> Basic version	0				100					5	weap,nor	r01,qty=4						usetype,nor,mod,bas			100																																																																																				0
White weapon + 4 Sols -> Exceptional version	1				100					5	weap,bas,nor	r12,qty=4						useitem,mod,exc			100																																																																																				0
White weapon + 4 Mals -> Elite version	1				100					5	weap,exc,nor	r23,qty=4						useitem,mod,eli			100																																																																																				0
White armor + 4 Els -> Basic version	0				100					5	armo,nor	r01,qty=4						usetype,nor,mod,bas			100																																																																																				0
White armor + 4 Sols -> Exceptional version	1				100					5	armo,bas,nor	r12,qty=4						useitem,mod,exc			100																																																																																				0
White armor + 4 Mals -> Elite version	1				100					5	armo,exc,nor	r23,qty=4						useitem,mod,eli			100																																																																																				0
Blue weapon + 4 Sols -> Exceptional version	1				100					5	weap,bas,mag	r12,qty=4						useitem,mod,exc			100																																																																																				0
Blue weapon + 4 Mals -> Elite version	1				100					5	weap,exc,mag	r23,qty=4						useitem,mod,eli			100																																																																																				0
Blue armor + 4 Sols -> Exceptional version	1				100					5	armo,bas,mag	r12,qty=4						useitem,mod,exc			100																																																																																				0
Blue armor + 4 Mals -> Elite version	1				100					5	armo,exc,mag	r23,qty=4						useitem,mod,eli			100																																																																																				0
Rare weapon + 4 Sols -> Exceptional version	1				100					5	weap,bas,rar	r12,qty=4						useitem,mod,exc			100																																																																																				0
Rare weapon + 4 Mals -> Elite version	1				100					5	weap,exc,rar	r23,qty=4						useitem,mod,eli			100																																																																																				0
Rare armor + 4 Sols -> Exceptional version	1				100					5	armo,bas,rar	r12,qty=4						useitem,mod,exc			100																																																																																				0
Rare armor + 4 Mals -> Elite version	1				100					5	armo,exc,rar	r23,qty=4						useitem,mod,eli			100																																																																																				0
Magic Helm - ChamJahBerSur - Sockets	1				100					5	helm,mag	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Rare Helm - ChamJahBerSur - Sockets	1				100					5	helm,rar	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Magic Weapon - ChamJahBerSur - Sockets	1				100					5	weap,mag	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Rare Weapon - ChamJahBerSur - Sockets	1				100					5	weap,rar	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Magic Torso - ChamJahBerSur - Sockets	1				100					5	tors,mag	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Rare Torso - ChamJahBerSur - Sockets	1				100					5	tors,rar	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Magic Shield - ChamJahBerSur - Sockets	1				100					5	shld,mag	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Rare Shield - ChamJahBerSur - Sockets	1				100					5	shld,rar	r32	r31	r30	r29			useitem				addxp			1	1	sock			6	6																																																																										0
Magic Shield - RalTal - Slow	1				100					3	shld,mag	r08	r07					useitem				addxp			1	1	slow			50	50																																																																										0
Rare Shield - RalTal - Slow	1				100					3	shld,rar	r08	r07					useitem				addxp			1	1	slow			50	50																																																																										0
Magic Gloves - RalTal - Slow	1				100					3	glov,mag	r08	r07					useitem				addxp			1	1	slow			50	50																																																																										0
Rare Gloves - RalTal - Slow	1				100					3	glov,rar	r08	r07					useitem				addxp			1	1	slow			50	50																																																																										0
Magic Belt - RalTal - Slow	1				100					3	belt,mag	r08	r07					useitem				addxp			1	1	slow			50	50																																																																										0
Rare Belt - RalTal - Slow	1				100					3	belt,rar	r08	r07					useitem				addxp			1	1	slow			50	50																																																																										0
Magic Weapon - IoThulEth - Pierce	1				100					4	weap,mag	r16	r10	r05				useitem				addxp			1	1	pierce			100	100																																																																										0
Rare Weapon - IoThulEth - Pierce	1				100					4	weap,rar	r16	r10	r05				useitem				addxp			1	1	pierce			100	100																																																																										0
Magic Ring - IoThulEth - Pierce	1				100					4	ring,mag	r16	r10	r05				useitem				addxp			1	1	pierce			100	100																																																																										0
Rare Ring - IoThulEth - Pierce	1				100					4	ring,rar	r16	r10	r05				useitem				addxp			1	1	pierce			100	100																																																																										0
Magic Belt - IoThulEth - Pierce	1				100					4	belt,mag	r16	r10	r05				useitem				addxp			1	1	pierce			100	100																																																																										0
Rare Belt - IoThulEth - Pierce	1				100					4	belt,rar	r16	r10	r05				useitem				addxp			1	1	pierce			100	100																																																																										0
Magic Helm - DolDolIth - Knockback	1				100					4	helm,mag	r14,qty=2	r06					useitem				addxp			1	1	knock			1	1																																																																										0
Rare Helm - DolDolIth - Knockback	1				100					4	helm,rar	r14,qty=2	r06					useitem				addxp			1	1	knock			1	1																																																																										0
Magic Weapon - DolDolIth - Knockback	1				100					4	weap,mag	r14,qty=2	r06					useitem				addxp			1	1	knock			1	1																																																																										0
Rare Weapon - DolDolIth - Knockback	1				100					4	weap,rar	r14,qty=2	r06					useitem				addxp			1	1	knock			1	1																																																																										0
Magic Gloves - DolDolIth - Knockback	1				100					4	glov,mag	r14,qty=2	r06					useitem				addxp			1	1	knock			1	1																																																																										0
Rare Gloves - DolDolIth - Knockback	1				100					4	glov,rar	r14,qty=2	r06					useitem				addxp			1	1	knock			1	1																																																																										0
Magic Amulet - LumNef - Ignore Def	1				100					3	amu,mag	r17	r04					useitem				addxp			1	1	ignore-ac			1	1																																																																										0
Rare Amulet - LumNef - Ignore Def	1				100					3	amu,rar	r17	r04					useitem				addxp			1	1	ignore-ac			1	1																																																																										0
Magic Torso - LumNef - Ignore Def	1				100					3	tors,mag	r17	r04					useitem				addxp			1	1	ignore-ac			1	1																																																																										0
Rare Torso - LumNef - Ignore Def	1				100					3	tors,rar	r17	r04					useitem				addxp			1	1	ignore-ac			1	1																																																																										0
Magic Ring - LumNef - Ignore Def	1				100					3	ring,mag	r17	r04					useitem				addxp			1	1	ignore-ac			1	1																																																																										0
Rare Ring - LumNef - Ignore Def	1				100					3	ring,rar	r17	r04					useitem				addxp			1	1	ignore-ac			1	1																																																																										0
Magic Weapon - IthTirEl - Freeze	1				100					4	weap,mag	r06	r03	r01				useitem				addxp			1	1	freeze			3	3																																																																										0
Rare Weapon - IthTirEl - Freeze	1				100					4	weap,rar	r06	r03	r01				useitem				addxp			1	1	freeze			3	3																																																																										0
Magic Shield - IthTirEl - Freeze	1				100					4	shld,mag	r06	r03	r01				useitem				addxp			1	1	freeze			3	3																																																																										0
Rare Shield - IthTirEl - Freeze	1				100					4	shld,rar	r06	r03	r01				useitem				addxp			1	1	freeze			3	3																																																																										0
Magic Ring - IthTirEl - Freeze	1				100					4	ring,mag	r06	r03	r01				useitem				addxp			1	1	freeze			3	3																																																																										0
Rare Ring - IthTirEl - Freeze	1				100					4	ring,rar	r06	r03	r01				useitem				addxp			1	1	freeze			3	3																																																																										0
Magic Helm - ChamLem - Cannot be frozen	1				100					3	helm,mag	r32	r20					useitem				addxp			1	1	nofreeze			1	1																																																																										0
Rare Helm - ChamLem - Cannot be frozen	1				100					3	helm,rar	r32	r20					useitem				addxp			1	1	nofreeze			1	1																																																																										0
Magic Torso - ChamLem - Cannot be frozen	1				100					3	tors,mag	r32	r20					useitem				addxp			1	1	nofreeze			1	1																																																																										0
Rare Torso - ChamLem - Cannot be frozen	1				100					3	tors,rar	r32	r20					useitem				addxp			1	1	nofreeze			1	1																																																																										0
Magic Boots - ChamLem - Cannot be frozen	1				100					3	boot,mag	r32	r20					useitem				addxp			1	1	nofreeze			1	1																																																																										0
Rare Boots - ChamLem - Cannot be frozen	1				100					3	boot,rar	r32	r20					useitem				addxp			1	1	nofreeze			1	1																																																																										0
Magic Armor - ZodMal UE - Indestructible	1				100					4	armo,mag	r33	r23	elx				useitem				addxp			1	1	indestruct			1	1																																																																										0
Rare Armor - ZodMal UE - Indestructible	1				100					4	armo,rar	r33	r23	elx				useitem				addxp			1	1	indestruct			1	1																																																																										0
Magic Weapon - ZodMal UE - Indestructible	1				100					4	weap,mag	r33	r23	elx				useitem				addxp			1	1	indestruct			1	1	rep-quant		100																																																																							0
Rare Weapon - ZodMal UE - Indestructible	1				100					4	weap,rar	r33	r23	elx				useitem				addxp			1	1	indestruct			1	1	rep-quant		100																																																																							0
Magic Helm - GulUmUm - Reduce poison length	1				100					4	helm,mag	r25	r22,qty=2					useitem				addxp			1	1	res-pois-len			75	75																																																																										0
Rare Helm - GulUmUm - Reduce poison length	1				100					4	helm,rar	r25	r22,qty=2					useitem				addxp			1	1	res-pois-len			75	75																																																																										0
Magic Shield - GulUmUm - Reduce poison length	1				100					4	shld,mag	r25	r22,qty=2					useitem				addxp			1	1	res-pois-len			75	75																																																																										0
Rare Shield - GulUmUm - Reduce poison length	1				100					4	shld,rar	r25	r22,qty=2					useitem				addxp			1	1	res-pois-len			75	75																																																																										0
Magic Boots - GulUmUm - Reduce poison length	1				100					4	boot,mag	r25	r22,qty=2					useitem				addxp			1	1	res-pois-len			75	75																																																																										0
Rare Boots - GulUmUm - Reduce poison length	1				100					4	boot,rar	r25	r22,qty=2					useitem				addxp			1	1	res-pois-len			75	75																																																																										0
Magic Amulet - FalOrt - Prevent Heal	1				100					3	amu,mag	r19	r09					useitem				addxp			1	1	noheal			1	1																																																																										0
Rare Amulet - FalOrt - Prevent Heal	1				100					3	amu,rar	r19	r09					useitem				addxp			1	1	noheal			1	1																																																																										0
Magic Weapon - FalOrt - Prevent Heal	1				100					3	weap,mag	r19	r09					useitem				addxp			1	1	noheal			1	1																																																																										0
Rare Weapon - FalOrt - Prevent Heal	1				100					3	weap,rar	r19	r09					useitem				addxp			1	1	noheal			1	1																																																																										0
Magic Belt - FalOrt - Prevent Heal	1				100					3	belt,mag	r19	r09					useitem				addxp			1	1	noheal			1	1																																																																										0
Rare Belt - FalOrt - Prevent Heal	1				100					3	belt,rar	r19	r09					useitem				addxp			1	1	noheal			1	1																																																																										0
Magic Amulet - UmSol - Rest in peace	1				100					3	amu,mag	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Rare Amulet - UmSol - Rest in peace	1				100					3	amu,rar	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Magic Torso - UmSol - Rest in peace	1				100					3	tors,mag	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Rare Torso - UmSol - Rest in peace	1				100					3	tors,rar	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Magic Ring - UmSol - Rest in peace	1				100					3	ring,mag	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Rare Ring - UmSol - Rest in peace	1				100					3	ring,rar	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Magic Boot - UmSol - Rest in peace	1				100					3	boot,mag	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Rare Boots - UmSol - Rest in peace	1				100					3	boot,rar	r22	r12					useitem				addxp			1	1	rip			1	1																																																																										0
Magic Helm - Gul 2SE - Flee	1				100					4	helm,mag	r25	hrb,qty=2					useitem				addxp			1	1	howl			96	96																																																																										0
Rare Helm - Gul 2SE - Flee	1				100					4	helm,rar	r25	hrb,qty=2					useitem				addxp			1	1	howl			96	96																																																																										0
Magic Belt - Gul 2SE - Flee	1				100					4	belt,mag	r25	hrb,qty=2					useitem				addxp			1	1	howl			96	96																																																																										0
Rare Belt - Gul 2SE - Flee	1				100					4	belt,rar	r25	hrb,qty=2					useitem				addxp			1	1	howl			96	96																																																																										0
Magic Boots - Gul 2SE - Flee	1				100					4	boot,mag	r25	hrb,qty=2					useitem				addxp			1	1	howl			96	96																																																																										0
Rare Boots - Gul 2SE - Flee	1				100					4	boot,rar	r25	hrb,qty=2					useitem				addxp			1	1	howl			96	96																																																																										0
Magic Weapon - JahVex UE - Critical Strike	1				100					4	weap,mag	r31	r26	elx				useitem				addxp			1	1	oskill		9	3	7																																																																										0
Rare Weapon - JahVex UE - Critical Strike	1				100					4	weap,rar	r31	r26	elx				useitem				addxp			1	1	oskill		9	3	7																																																																										0
Magic Gloves - JahVex UE - Critical Strike	1				100					4	glov,mag	r31	r26	elx				useitem				addxp			1	1	oskill		9	3	7																																																																										0
Rare Gloves - JahVex UE - Critical Strike	1				100					4	glov,rar	r31	r26	elx				useitem				addxp			1	1	oskill		9	3	7																																																																										0
Magic Belt - JahVex UE - Critical Strike	1				100					4	belt,mag	r31	r26	elx				useitem				addxp			1	1	oskill		9	3	7																																																																										0
Rare Belt - JahVex UE - Critical Strike	1				100					4	belt,rar	r31	r26	elx				useitem				addxp			1	1	oskill		9	3	7																																																																										0
Magic Helm - ChamIo SE - Dodge, Avoid, Evade	1				100					4	helm,mag	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Rare Helm - ChamIo SE - Dodge, Avoid, Evade	1				100					4	helm,rar	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Magic Torso - ChamIo SE - Dodge, Avoid, Evade	1				100					4	tors,mag	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Rare Torso - ChamIo SE - Dodge, Avoid, Evade	1				100					4	tors,rar	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Magic Shield - ChamIo SE - Dodge, Avoid, Evade	1				100					4	shld,mag	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Rare Shield - ChamIo SE - Dodge, Avoid, Evade	1				100					4	shld,rar	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Magic Boots - ChamIo SE - Dodge, Avoid, Evade	1				100					4	boot,mag	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Rare Boots - ChamIo SE - Dodge, Avoid, Evade	1				100					4	boot,rar	r32	r16	hrb				useitem				addxp			1	1	oskill		13	2	5	oskill		18	2	5	oskill		29	2	5																																																																0
Magic Amulet - MalMal UE - Decoy	1				100					4	amu,mag	r23,qty=2	elx					useitem				addxp			1	1	oskill		28	8	12	gethit-skill		28	20	15																																																																					0
Rare Amulet - MalMal UE - Decoy	1				100					4	amu,rar	r23,qty=2	elx					useitem				addxp			1	1	oskill		28	8	12	gethit-skill		28	20	15																																																																					0
Magic Torso - MalMal UE - Decoy	1				100					4	tors,mag	r23,qty=2	elx					useitem				addxp			1	1	oskill		28	8	12	gethit-skill		28	20	15																																																																					0
Rare Torso - MalMal UE - Decoy	1				100					4	tors,rar	r23,qty=2	elx					useitem				addxp			1	1	oskill		28	8	12	gethit-skill		28	20	15																																																																					0
Magic Ring - MalMal UE - Decoy	1				100					4	ring,mag	r23,qty=2	elx					useitem				addxp			1	1	oskill		28	8	12	gethit-skill		28	20	15																																																																					0
Rare Ring - MalMal UE - Decoy	1				100					4	ring,rar	r23,qty=2	elx					useitem				addxp			1	1	oskill		28	8	12	gethit-skill		28	20	15																																																																					0
Magic Shield - SurPul - Valkyrie	1				100					3	shld,mag	r29	r21					useitem				addxp			1	1	oskill		32	3	7																																																																										0
Rare Shield - SurPul - Valkyrie	1				100					3	shld,rar	r29	r21					useitem				addxp			1	1	oskill		32	3	7																																																																										0
Magic Gloves - SurPul - Valkyrie	1				100					3	glov,mag	r29	r21					useitem				addxp			1	1	oskill		32	3	7																																																																										0
Rare Gloves - SurPul - Valkyrie	1				100					3	glov,rar	r29	r21					useitem				addxp			1	1	oskill		32	3	7																																																																										0
Magic Ring - SurPul - Valkyrie	1				100					3	ring,mag	r29	r21					useitem				addxp			1	1	oskill		32	3	7																																																																										0
Rare Ring - SurPul - Valkyrie	1				100					3	ring,rar	r29	r21					useitem				addxp			1	1	oskill		32	3	7																																																																										0
Magic Weapon - ZodLo 2UE - MultishotGuidedArrow	1				100					5	weap,mag	r33	r28	elx,qty=2				useitem				addxp			1	1	oskill		12	5	10	oskill		22	15	20	oskill		26	10	15																																																																0
Rare Weapon - ZodLo 2UE - MultishotGuidedArrow	1				100					5	weap,rar	r33	r28	elx,qty=2				useitem				addxp			1	1	oskill		12	5	10	oskill		22	15	20	oskill		26	10	15																																																																0
Magic Gloves - ZodLo 2UE - MultishotGuidedArrow	1				100					5	glov,mag	r33	r28	elx,qty=2				useitem				addxp			1	1	oskill		12	5	10	oskill		22	15	20	oskill		26	10	15																																																																0
Rare Gloves - ZodLo 2UE - MultishotGuidedArrow	1				100					5	glov,rar	r33	r28	elx,qty=2				useitem				addxp			1	1	oskill		12	5	10	oskill		22	15	20	oskill		26	10	15																																																																0
Magic Amulet - BerSur 2SE - Burst of Speed	1				100					5	amu,mag	r30	r29	hrb,qty=2				useitem				addxp			1	1	oskill		258	8	12																																																																										0
Rare Amulet - BerSur 2SE - Burst of Speed	1				100					5	amu,rar	r30	r29	hrb,qty=2				useitem				addxp			1	1	oskill		258	8	12																																																																										0
Magic Torso - BerSur 2SE - Burst of Speed	1				100					5	tors,mag	r30	r29	hrb,qty=2				useitem				addxp			1	1	oskill		258	8	12																																																																										0
Rare Torso - BerSur 2SE - Burst of Speed	1				100					5	tors,rar	r30	r29	hrb,qty=2				useitem				addxp			1	1	oskill		258	8	12																																																																										0
Magic Shield - BerSur 2SE - Burst of Speed	1				100					5	shld,mag	r30	r29	hrb,qty=2				useitem				addxp			1	1	oskill		258	8	12																																																																										0
Rare Shield - BerSur 2SE - Burst of Speed	1				100					5	shld,rar	r30	r29	hrb,qty=2				useitem				addxp			1	1	oskill		258	8	12																																																																										0
Magic Amulet - LoLoGulIst - Fade	1				100					5	amu,mag	r28,qty=2	r25	r24				useitem				addxp			1	1	oskill		267	8	12																																																																										0
Rare Amulet - LoLoGulIst - Fade	1				100					5	amu,rar	r28,qty=2	r25	r24				useitem				addxp			1	1	oskill		267	8	12																																																																										0
Magic Torso - LoLoGulIst - Fade	1				100					5	tors,mag	r28,qty=2	r25	r24				useitem				addxp			1	1	oskill		267	8	12																																																																										0
Rare Torso - LoLoGulIst - Fade	1				100					5	tors,rar	r28,qty=2	r25	r24				useitem				addxp			1	1	oskill		267	8	12																																																																										0
Magic Shield - LoLoGulIst - Fade	1				100					5	shld,mag	r28,qty=2	r25	r24				useitem				addxp			1	1	oskill		267	8	12																																																																										0
Rare Shield - LoLoGulIst - Fade	1				100					5	shld,rar	r28,qty=2	r25	r24				useitem				addxp			1	1	oskill		267	8	12																																																																										0
Magic Helm - JahBerLo UE - Mind Blast	1				100					5	helm,mag	r31	r30	r28	elx			useitem				addxp			1	1	oskill		273	2	5	hit-skill		273	5	5	gethit-skill		273	15	5																																																																0
Rare Helm - JahBerLo UE - Mind Blast	1				100					5	helm,rar	r31	r30	r28	elx			useitem				addxp			1	1	oskill		273	2	5	hit-skill		273	5	5	gethit-skill		273	15	5																																																																0
Magic Shield - JahBerLo UE - Mind Blast	1				100					5	shld,mag	r31	r30	r28	elx			useitem				addxp			1	1	oskill		273	2	5	hit-skill		273	5	5	gethit-skill		273	15	5																																																																0
Rare Shield - JahBerLo UE - Mind Blast	1				100					5	shld,rar	r31	r30	r28	elx			useitem				addxp			1	1	oskill		273	2	5	hit-skill		273	5	5	gethit-skill		273	15	5																																																																0
Magic Ring - JahBerLo UE - Mind Blast	1				100					5	ring,mag	r31	r30	r28	elx			useitem				addxp			1	1	oskill		273	2	5	hit-skill		273	5	5	gethit-skill		273	15	5																																																																0
Rare Ring - JahBerLo UE - Mind Blast	1				100					5	ring,rar	r31	r30	r28	elx			useitem				addxp			1	1	oskill		273	2	5	hit-skill		273	5	5	gethit-skill		273	15	5																																																																0
Magic Shield - Ohm 3UE - Shadow Master	1				100					5	shld,mag	r27	elx,qty=3					useitem				addxp			1	1	oskill		279	3	7																																																																										0
Rare Shield - Ohm 3UE - Shadow Master	1				100					5	shld,rar	r27	elx,qty=3					useitem				addxp			1	1	oskill		279	3	7																																																																										0
Magic Gloves - Ohm 3UE - Shadow Master	1				100					5	glov,mag	r27	elx,qty=3					useitem				addxp			1	1	oskill		279	3	7																																																																										0
Rare Gloves - Ohm 3UE - Shadow Master	1				100					5	glov,rar	r27	elx,qty=3					useitem				addxp			1	1	oskill		279	3	7																																																																										0
Magic Ring - Ohm 3UE - Shadow Master	1				100					5	ring,mag	r27	elx,qty=3					useitem				addxp			1	1	oskill		279	3	7																																																																										0
Rare Ring - Ohm 3UE - Shadow Master	1				100					5	ring,rar	r27	elx,qty=3					useitem				addxp			1	1	oskill		279	3	7																																																																										0
Magic Helm - IstIstIst UE - Blade Shield	1				100					5	helm,mag	r24,qty=3	elx					useitem				addxp			1	1	oskill		277	8	12	gethit-skill		277	10	15																																																																					0
Rare Helm - IstIstIst UE - Blade Shield	1				100					5	helm,rar	r24,qty=3	elx					useitem				addxp			1	1	oskill		277	8	12	gethit-skill		277	10	15																																																																					0
Magic Weapon - IstIstIst UE - Blade Shield	1				100					5	weap,mag	r24,qty=3	elx					useitem				addxp			1	1	oskill		277	8	12	gethit-skill		277	10	15																																																																					0
Rare Weapon - IstIstIst UE - Blade Shield	1				100					5	weap,rar	r24,qty=3	elx					useitem				addxp			1	1	oskill		277	8	12	gethit-skill		277	10	15																																																																					0
Magic Torso - IstIstIst UE - Blade Shield	1				100					5	tors,mag	r24,qty=3	elx					useitem				addxp			1	1	oskill		277	8	12	gethit-skill		277	10	15																																																																					0
Rare Torso - IstIstIst UE - Blade Shield	1				100					5	tors,rar	r24,qty=3	elx					useitem				addxp			1	1	oskill		277	8	12	gethit-skill		277	10	15																																																																					0
Magic Weapon - OhmOhmUm SE - Shouts	1				100					5	weap,mag	r27,qty=2	r22	hrb				useitem				addxp			1	1	oskill		138	8	12	oskill		149	8	12	oskill		155	8	12																																																																0
Rare Weapon - OhmOhmUm SE - Shouts	1				100					5	weap,rar	r27,qty=2	r22	hrb				useitem				addxp			1	1	oskill		138	8	12	oskill		149	8	12	oskill		155	8	12																																																																0
Magic Shield - OhmOhmUm SE - Shouts	1				100					5	shld,mag	r27,qty=2	r22	hrb				useitem				addxp			1	1	oskill		138	8	12	oskill		149	8	12	oskill		155	8	12																																																																0
Rare Shield - OhmOhmUm SE - Shouts	1				100					5	shld,rar	r27,qty=2	r22	hrb				useitem				addxp			1	1	oskill		138	8	12	oskill		149	8	12	oskill		155	8	12																																																																0
Magic Helm - IstIstUmKo - Find Item	1				100					5	helm,mag	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Rare Helm - IstIstUmKo - Find Item	1				100					5	helm,rar	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Magic Torso - IstIstUmKo - Find Item	1				100					5	tors,mag	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Rare Torso - IstIstUmKo - Find Item	1				100					5	tors,rar	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Magic Gloves - IstIstUmKo - Find Item	1				100					5	glov,mag	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Rare Gloves - IstIstUmKo - Find Item	1				100					5	glov,rar	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Magic Ring- IstIstUmKo - Find Item	1				100					5	ring,mag	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Rare Ring - IstIstUmKo - Find Item	1				100					5	ring,rar	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Magic Boots - IstIstUmKo - Find Item	1				100					5	boot,mag	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Rare Boots - IstIstUmKo - Find Item	1				100					5	boot,rar	r24,qty=2	r22	r18				useitem				addxp			1	1	oskill		142	5	10																																																																										0
Magic Weapon - LemFal SE - Double Swing	1				100					4	weap,mag	r20	r19	hrb				useitem				addxp			1	1	oskill		133	5	10																																																																										0
Rare Weapon - LemFal SE - Double Swing	1				100					4	weap,rar	r20	r19	hrb				useitem				addxp			1	1	oskill		133	5	10																																																																										0
Magic Shield - LemFal SE - Double Swing	1				100					4	shld,mag	r20	r19	hrb				useitem				addxp			1	1	oskill		133	5	10																																																																										0
